modification,reaction_id,reaction_name,old_reaction_equation,new_reaction_equation,mass_and_charge_balance_new,GPR,old_gpr,subsystem,confidence_level,TIC_association,is_blocked,isomer_group,iAT601_RAT_note,reaction_update_notes,metabolite_update_notes,lower_bound,upper_bound,literature_references,curation_notes,DB_links
,NHHA,Nalpha-(beta-alanyl)-L-histidine hydrolase,carn_c + h2o_c <=> ala_B_c + his__L_c,carn_c + h2o_c <=> ala_B_c + his__L_c,{},CLO1313_RS03625,Clo1313_0700,Histidine metabolism,2,,TRUE,"['ala__L_c', 'ala_B_c', 'ala__D_c']",,,,-1000,1000,,,"{'EC NUMBER': ['3.4.13.3        3.4.13.20'], 'KEGG': ['R01166']}"
,BTCOARx,Butanal:NAD+ oxidoreductase (CoA-acylating),btcoa_c + h_c + nadh_c --> btal_c + coa_c + nad_c,btcoa_c + h_c + nadh_c --> btal_c + coa_c + nad_c,{},CLO1313_RS09095,Clo1313_1798,Butanoate metabolism,2,,TRUE,"['btcoa_c', 'ibcoa_c']",,,,0,1000,,isolated,"{'BIOPATH': ['RXN00517'], 'EC NUMBER': ['1.2.1.10        1.2.1.57'], 'KEGG': ['R01172'], 'MXNREF': ['MNXR5687'], 'RHEA': ['22968, 22969, 22970, 22971'], 'SEED': ['rxn00869']}"
,POR,Pyruvate-ferredoxin oxidoreductase,coa_c + 2.0 fdxo_42_c + pyr_c --> accoa_c + co2_c + 2.0 fdxr_42_c + 2.0 h_c,coa_c + 2.0 fdxo_42_c + pyr_c --> accoa_c + co2_c + 2.0 fdxr_42_c + h_c,{},CLO1313_RS00125 or CLO1313_RS01945 or CLO1313_RS03485 or CLO1313_RS00130 or CLO1313_RS01950 or CLO1313_RS00120 or CLO1313_RS01940 or CLO1313_RS00115 or CLO1313_RS01935 or CLO1313_RS06860 or CLO1313_RS06870,Clo1313_0022 or Clo1313_0384 or Clo1313_0673 or Clo1313_0023 or Clo1313_0385 or Clo1313_0021 or (Clo1313_0382  and Clo1313_0383) or Clo1313_0020 or Clo1313_1354 or Clo1313_1356,Glycolysis/Gluconeogenesis,4,,,,,Note that bigg seems to have repeated metabolite ids for ferredoxine,"['MET_ID:fdxr_42_c, NOTE: (c therm uses 42 (uniprot). )', 'MET_ID:fdxo_42_c, NOTE: (c therm uses 42 (uniprot). )']",0,1000,,updated gpr to reflect subunit annotation,"{'BIOCYC': ['PYRUFLAVREDUCT-RXN'], 'BRENDA': ['BR29433, BS189349'], 'EC NUMBER': ['1.2.7.1         1.2.7.-'], 'IAT CORE': ['GG13, PFOR'], 'KEGG': ['R01196'], 'METACYC': ['PYRUFLAVREDUCT-RXN'], 'MXNREF': ['MNXR56605'], 'SEED': ['rxn05938, rxn13974']}"
,OOR3,2-oxoglutarate:ferredoxin oxidoreductase (decarboxylating),akg_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + 2.0 h_c + succoa_c,akg_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + succoa_c,{},CLO1313_RS06865 or CLO1313_RS06855 or CLO1313_RS06870,Clo1313_1355 or Clo1313_1353 or Clo1313_1356,Citrate cycle (TCA cycle),2,,,"['succoa_c', 'mmcoa__S_c']",,,"['MET_ID:fdxr_42_c, NOTE: (c therm uses 42 (uniprot). )', 'MET_ID:fdxo_42_c, NOTE: (c therm uses 42 (uniprot). )']",0,1000,,,"{'BIGG': ['OOR3, OOR3r'], 'BRENDA': ['BR29435, BS189351'], 'EC NUMBER': ['1.2.7.3'], 'KEGG': ['R01197'], 'MXNREF': ['MNXR3972'], 'SEED': ['rxn05939, rxn14048'], 'UPA': ['UCR01197, UER00998']}"
,OBFOR,2-oxobutanoate:ferredoxin 2-oxidoreductase (CoA-propanoylating),2obut_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + 2.0 h_c + ppcoa_c,2obut_c + coa_c + 2.0 fdxo_42_c --> co2_c + 2.0 fdxr_42_c + h_c + ppcoa_c,{},CLO1313_RS00125 or CLO1313_RS01945 or CLO1313_RS00130 or CLO1313_RS01950 or CLO1313_RS00120 or CLO1313_RS00115 or (CLO1313_RS01940  and CLO1313_RS01935),Clo1313_0022 or Clo1313_0384 or Clo1313_0023 or Clo1313_0385 or Clo1313_0021 or Clo1313_0383 or Clo1313_0020 or Clo1313_0382,Propanoate metabolism,2,,TRUE,"['2obut_c', 'mmtsa_c']",,,"['MET_ID:fdxr_42_c, NOTE: (c therm uses 42 (uniprot). )', 'MET_ID:fdxo_42_c, NOTE: (c therm uses 42 (uniprot). )']",0,1000,,,"{'BIOCYC': ['2-OXOBUTYRATE-SYNTHASE-RXN'], 'BRENDA': ['BR29434, BS370001'], 'EC NUMBER': ['1.2.7.1         1.2.7.2'], 'KEGG': ['R01199'], 'MXNREF': ['MNXR6978'], 'SEED': ['rxn05940, rxn14178']}"
,DHAD1,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",23dhmb2_c --> 3mob_c + h2o_c,23dhmb_c --> 3mob_c + h2o_c,{},CLO1313_RS01570,Clo1313_0304,Pantothenate and CoA biosynthesis,3,,,"['23dhmb2_c', '23dhmb_c']",,,"['MET_ID:23dhmb2_c, NOTE: isomer (not in bigg)']",0,1000,,,"{'BIGG': ['DHAD1, DHAD1m'], 'BIOCYC': ['DIHYDROXYISOVALDEHYDRAT-RXN'], 'BIOPATH': ['RXN00558'], 'BRENDA': ['BR3406, BS402319'], 'EC NUMBER': ['4.2.1.9'], 'IAT CORE': ['VAL3r'], 'KEGG': ['R01209, R04441'], 'METACYC': ['DIHYDROXYISOVALDEHYDRAT-RXN'], 'MXNREF': ['MNXR1535'], 'RHEA': ['20936, 20937, 20938, 20939, 24809, 24810, 24811, 24812'], 'SEED': ['rxn00898'], 'UPA': ['UCR04441, UER00061']}"
,IPPS,2-isopropylmalate synthase,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,3mob_c + accoa_c + h2o_c --> 3c3hmp_c + coa_c + h_c,{},CLO1313_RS04395 or CLO1313_RS00545 or  CLO1313_RS03665,Clo1313_0857 or Clo1313_0102,"Valine, leucine and isoleucine biosynthesis",2,,,"['3c3hmp_c', '3c2hmp_c']",,,,0,1000,,,"{'BIGG': ['IPPS, IPPSm'], 'BIOCYC': ['2-ISOPROPYLMALATESYN-RXN'], 'BIOPATH': ['RXN01115'], 'BRENDA': ['BR47381'], 'EC NUMBER': ['2.3.3.13'], 'KEGG': ['R01213'], 'METACYC': ['2-ISOPROPYLMALATESYN-RXN'], 'MXNREF': ['MNXR3135'], 'RHEA': ['21524, 21525, 21526, 21527'], 'SEED': ['rxn00902'], 'UPA': ['UCR01213, UER00070']}"
,VALTA,Valine transaminase,akg_c + val__L_c <=> 3mob_c + glu__L_c,akg_c + val__L_c <=> 3mob_c + glu__L_c,{},CLO1313_RS06910,Clo1313_1364,"Valine, leucine and isoleucine degradation",4,,,"['glu__L_c', 'glu__D_c']",,,,-1000,1000,,,"{'BIGG': ['VALTA, VALTAm'], 'BIOCYC': ['BRANCHED-CHAINAMINOTRANSFERVAL-RXN'], 'BRENDA': ['BS356553'], 'EC NUMBER': ['2.6.1.6         2.6.1.42'], 'IAT CORE': ['VAL4r'], 'KEGG': ['R01214'], 'METACYC': ['BRANCHED-CHAINAMINOTRANSFERVAL-RXN'], 'MXNREF': ['MNXR32586'], 'RHEA': ['24813, 24814, 24815, 24816'], 'SEED': ['rxn00903'], 'UPA': ['UCR01214, UER00062']}"
,MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),mlthf_c + nadp_c <=> methf_c + nadph_c,mlthf_c + nadp_c <=> h_c + methf_c + nadph_c,{},CLO1313_RS05690,Clo1313_1120,One carbon pool by folate,2,,,,,,,-1000,1000,,,"{'BIGG': ['MTHFD, MTHFDm'], 'BIOCYC': ['METHYLENETHFDEHYDROG-NADP-RXN'], 'BRENDA': ['BR36902, BS402370'], 'EC NUMBER': ['1.5.1.5'], 'KEGG': ['R01220'], 'METACYC': ['METHYLENETHFDEHYDROG-NADP-RXN'], 'MXNREF': ['MNXR3642'], 'RHEA': ['22812, 22813, 22814, 22815'], 'SEED': ['rxn00907']}"
,MTHFO_nadp,5-methyltetrahydrofolate:NADP+ oxidoreductase,h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c,{},CLO1313_RS10810,Clo1313_2132,One carbon pool by folate,1,,,,"['Not sure about cofactor, Fong uses NADPH, Biocyc uses NADH. See R07168']",,,0,1000,,,"{'BIGG': ['MTHFR3'], 'BIOCYC': ['1.5.1.20-RXN'], 'BRENDA': ['BR36896, BS259230'], 'EC NUMBER': ['1.5.1.20'], 'KEGG': ['R01224'], 'MXNREF': ['MNXR3645'], 'RHEA': ['19817, 19818, 19819, 19820'], 'SEED': ['rxn00910']}"
,MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,{},CLO1313_RS06675,Clo1313_1316,Pantothenate and CoA biosynthesis,2,,TRUE,"['2dhp_c', '2ahbut_c', '3hmop_c']",,,,0,1000,,,"{'BIGG': ['MOHMT'], 'BIOCYC': ['3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN'], 'BRENDA': ['BR43940, BS320031'], 'EC NUMBER': ['2.1.2.11'], 'METACYC': ['3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN'], 'MXNREF': ['MNXR3626'], 'RHEA': ['11824, 11825, 11826, 11827'], 'SEED': ['rxn00912'], 'UPA': ['UCR01226, UER00003']}"
,NTD9,5'-nucleotidase (GMP),gmp_c + h2o_c --> gsn_c + pi_c,gmp_c + h2o_c --> gsn_c + pi_c,{},CLO1313_RS15375,Clo1313_3022,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['NTD9, NTD9e, NTD9l, NTD9pp'], 'BIOCYC': ['RXN-7609'], 'BIOPATH': ['RXN01476'], 'BRENDA': ['BS64638'], 'EC NUMBER': ['3.1.3.5'], 'KEGG': ['R01227'], 'METACYC': ['RXN-7609'], 'MXNREF': ['MNXR3882'], 'RHEA': ['27714, 27715, 27716, 27717'], 'SEED': ['rxn00913']}"
,GPAR,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase,gua_c + prpp_c --> gmp_c + ppi_c,gua_c + prpp_c --> gmp_c + h_c + ppi_c,{},CLO1313_RS14875 or CLO1313_RS04650,Clo1313_2927 or Clo1313_0908,Purine metabolism,2,,TRUE,,,,,0,1000,,,"{'BIGG': ['GUAPRT'], 'BIOPATH': ['RXN00706'], 'BRENDA': ['BS355284'], 'EC NUMBER': ['2.4.2.7         2.4.2.8         2.4.2.22'], 'KEGG': ['R01229'], 'METACYC': ['GUANPRIBOSYLTRAN-RXN'], 'MXNREF': ['MNXR55611'], 'RHEA': ['25424, 25425, 25426, 25427'], 'SEED': ['rxn00915'], 'UPA': ['UCR01229, UER00887']}"
,GMPS,GMP synthase,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,{},CLO1313_RS09330 or CLO1313_RS10310,Clo1313_1846 or Clo1313_2036,Purine metabolism,2,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['GMPS'], 'BRENDA': ['BR129'], 'EC NUMBER': ['6.3.4.1         6.3.5.2'], 'KEGG': ['R01230'], 'METACYC': ['GMP-SYN-NH3-RXN'], 'MXNREF': ['MNXR2788'], 'RHEA': ['18301, 18302, 18303, 18304'], 'SEED': ['rxn00916'], 'UPA': ['UCR01230, UER00297']}"
,GMPS2,GMP synthase,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c,atp_c + gln__L_c + h2o_c + xmp_c --> amp_c + glu__L_c + gmp_c + 2.0 h_c + ppi_c,{},CLO1313_RS09330 or CLO1313_RS10310,Clo1313_1846 or Clo1313_2036,Purine metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['GMPS2'], 'BIOCYC': ['GMP-SYN-GLUT-RXN'], 'BIOPATH': ['RXN00486'], 'BRENDA': ['BR149'], 'EC NUMBER': ['6.3.5.2'], 'KEGG': ['R01231'], 'METACYC': ['GMP-SYN-GLUT-RXN'], 'MXNREF': ['MNXR32727'], 'REACTOME': ['REACT_101174, REACT_106878, REACT_107658, REACT_108131, REACT_109470, REACT_110787, REACT_114078, REACT_116095, REACT_28584, REACT_29577, REACT_30457, REACT_32520, REACT_32733, REACT_62336, REACT_628, REACT_78067, REACT_83038, REACT_86681, REACT_91249, REACT_96003, REACT_96357'], 'RHEA': ['11680, 11681, 11682, 11683'], 'SEED': ['rxn00917'], 'UPA': ['UCR01231, UER00296']}"
,PRO1x,Proline oxidase  NAD  ,1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c,1pyr5c_c + 2.0 h_c + nadh_c --> nad_c + pro__L_c,{},CLO1313_RS07825,Clo1313_1551,Arginine and proline metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['P5CRx, P5CRxm, PRO1x, PRO1xm'], 'BIOCYC': ['PYRROLINECARBREDUCT-RXN'], 'BIOPATH': ['RXN00264, RXN00750'], 'EC NUMBER': ['1.5.1.2'], 'KEGG': ['R01248'], 'MXNREF': ['MNXR4062'], 'SEED': ['rxn00929'], 'UPA': ['UCR01248']}"
,P5CR,Pyrroline-5-carboxylate reductase,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,{},CLO1313_RS07825,Clo1313_1551,Arginine and proline metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['P5CR, P5CRm'], 'BIOCYC': ['PYRROLINECARBREDUCT-RXN'], 'BIOPATH': ['RXN01427'], 'EC NUMBER': ['1.5.1.2'], 'KEGG': ['R01251'], 'METACYC': ['PYRROLINECARBREDUCT-RXN'], 'MXNREF': ['MNXR55820'], 'REACTOME': ['REACT_100008, REACT_104986, REACT_105265, REACT_107941, REACT_110433, REACT_113065, REACT_113362, REACT_113421, REACT_113534, REACT_114311, REACT_119, REACT_157210, REACT_159799, REACT_78614, REACT_97457'], 'SEED': ['rxn00931']}"
,FACOAL160,Fatty acid  CoA ligase  hexadecanoate  ,atp_c + coa_c + hdca_c --> amp_c + pmtcoa_c + ppi_c,atp_c + coa_c + hdca_c --> amp_c + pmtcoa_c + ppi_c,{},CLO1313_RS05220,Clo1313_1024,Fatty acid metabolism,2,,TRUE,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['FACOAL160, FACOAL160i, FACOAL160p'], 'BRENDA': ['BS368999'], 'EC NUMBER': ['6.2.1.3'], 'KEGG': ['R01280'], 'METACYC': ['RXN-9623'], 'MXNREF': ['MNXR2003'], 'RHEA': ['30751, 30752, 30753, 30754'], 'SEED': ['rxn00947, rxn08452, rxn13829']}"
,CYSTL,Cystathionine b-lyase,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,cyst__L_c + h2o_c --> hcys__L_c + nh4_c + pyr_c,{},CLO1313_RS11800 or CLO1313_RS01965 or CLO1313_RS01970,Clo1313_2325 or Clo1313_0388 or Clo1313_0389,Methionine Metabolism,2,,,"['DUPLICATE_cyst__L_c', 'cyst__L_c']",,,,0,1000,,,"{'BIGG': ['CYSTL, CYSTLp'], 'BIOPATH': ['RXN00195'], 'BRENDA': ['BR3446'], 'EC NUMBER': ['4.4.1.8'], 'KEGG': ['R01286'], 'METACYC': ['CYSTATHIONINE-BETA-LYASE-RXN'], 'MXNREF': ['MNXR1361'], 'RHEA': ['13965, 13966, 13967, 13968'], 'SEED': ['rxn00950'], 'UPA': ['UCR01286, UER00078']}"
,AHHST,O-acetyl-L-homoserine:hydrogen sulfide S-(3-amino-3-carboxypropyl)transferase,achms_c + h2s_c --> ac_c + hcys__L_c,achms_c + h2s_c --> ac_c + hcys__L_c,{},CLO1313_RS12845 or CLO1313_RS11850,Clo1313_2534 or Clo1313_2335,Cysteine and methionine metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['AHSERL2, METACH'], 'BRENDA': ['BS354674, BS370452'], 'EC NUMBER': ['2.5.1.49'], 'KEGG': ['R01287'], 'METACYC': ['ACETYLHOMOSER-CYS-RXN'], 'MXNREF': ['MNXR30666'], 'RHEA': ['27822, 27823, 27824, 27825'], 'SEED': ['rxn00952'], 'UPA': ['UCR01287, UER00079']}"
,SHSL2,O-succinyl-L-homoserine succinate-lyase (adding hydrogen sulfide),h2s_c + suchms_c --> hcys__L_c + succ_c,h2s_c + suchms_c --> hcys__L_c + succ_c,{},CLO1313_RS11800 or CLO1313_RS01965,Clo1313_2325 or Clo1313_0388,Cysteine and methionine metabolism,0,,,"['succ_c', 'mmal_c']",,,,0,1000,,,{'EC NUMBER': ['2.5.1.48        2.5.1.-']}
,ACONT,Aconitate hydratase,cit_c <=> icit_c,cit_c <=> icit_c,{},CLO1313_RS03670,Clo1313_0709,Citrate cycle (TCA cycle),4,,,"['cit_c', 'icit_c']",,,,-1000,1000,,,"{'BIGG': ['ACONT, ACONTm'], 'BIOCYC': ['RXN-14047'], 'EC NUMBER': ['4.2.1.3'], 'IAT CORE': ['TCA2r, TCA3r'], 'KEGG': ['R01324'], 'MXNREF': ['MNXR30608'], 'RHEA': ['10336, 10337, 10338, 10339, 24658'], 'SEED': ['rxn00973'], 'UPA': ['UER00718']}"
delete:see_PPAKr,PPAK,Propionate kinase,adp_c + ppap_c --> atp_c + ppa_c,adp_c + ppap_c --> atp_c + ppa_c,{},CLO1313_RS06035 or CLO1313_RS08515,Clo1313_1186,Propanoate metabolism,,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['PPAKr'], 'BRENDA': ['BR48584'], 'EC NUMBER': ['2.7.2.1         2.7.2.15'], 'KEGG': ['R01353'], 'METACYC': ['PROPKIN-RXN, RXN-7958'], 'MXNREF': ['MNXR4375'], 'RHEA': ['23148, 23149, 23150, 23151'], 'SEED': ['rxn00985'], 'UPA': ['UCR01353, UER00510']}"
delete:correct_id,PPAKbad,Propionate kinase rev,atp_c + ppa_c --> ppad_c + ppi_c,atp_c + h_c + ppa_c --> ppad_c + ppi_c,{},CLO1313_RS08515,Clo1313_1686,Propanoate metabolism,0,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIOPATH': ['RXN00894, RXN01033'], 'EC NUMBER': ['6.2.1.1         6.2.1.17'], 'KEGG': ['R01354'], 'MXNREF': ['MNXR5887'], 'SEED': ['rxn00986']}"
add:correct_id,PPAKr,Propionate kinase reverse direction,atp_c + ppa_c --> ppad_c + ppi_c,atp_c + h_c + ppa_c <--> ppad_c + ppi_c,{},CLO1313_RS06035 or CLO1313_RS08515,Clo1313_1686,Propanoate metabolism,2,,,"['atp_c', 'dgtp_c']",,,,-1000,1000,,Secondary activity of Acetate kinase. ,"{'BIOPATH': ['RXN00894, RXN01033'], 'EC NUMBER': ['6.2.1.1         6.2.1.17'], 'KEGG': ['R01354'], 'MXNREF': ['MNXR5887'], 'SEED': ['rxn00986']}"
,PPNDH,Prephenate dehydratase,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,h_c + pphn_c --> co2_c + h2o_c + phpyr_c,{},CLO1313_RS14905,Clo1313_2933,"Phenylalanine, tyrosine and tryptophan biosynthesis",2,,,"['phpyr_c', '2coum_c']",,,,0,1000,,,"{'BIGG': ['PPNDH'], 'BIOCYC': ['PREPHENATEDEHYDRAT-RXN'], 'BIOPATH': ['RXN01518'], 'BRENDA': ['BR3398'], 'EC NUMBER': ['4.2.1.51        4.2.1.91'], 'KEGG': ['R01373'], 'METACYC': ['PREPHENATEDEHYDRAT-RXN'], 'MXNREF': ['MNXR4404'], 'RHEA': ['21648, 21649, 21650, 21651'], 'SEED': ['rxn01000'], 'UPA': ['UCR01373, UER00345']}"
,UGE2,UDP-glucuronate 5-epimerase,udpglcur_c <=> udpidour_c,udpglcur_c <=> udpidour_c,{},CLO1313_RS10115 or CLO1313_RS04570,Clo1313_1999 or Clo1313_0892,Amino sugar and nucleotide sugar metabolism,1,,TRUE,"['udpglcur_c', 'udpidour_c']",,,,-1000,1000,,,"{'EC NUMBER': ['5.1.3.12'], 'KEGG': ['R01387']}"
,HPYRRx,Hydroxypyruvate reductase (NADH),glyc__R_c + nad_c <=> h_c + hpyr_c + nadh_c,glyc__R_c + nad_c <=> h_c + hpyr_c + nadh_c,{},CLO1313_RS09880,Clo1313_1953,"Glycine, serine and threonine metabolism",2,,TRUE,,,,,-1000,1000,,,"{'EC NUMBER': ['1.1.1.26        1.1.1.29        1.1.1.81'], 'KEGG': ['R01388']}"
,ASPCT,Aspartate carbamoyltransferase,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,{},CLO1313_RS06420,Clo1313_1264,Pyrimidine metabolism,2,,,,,,,0,1000,,,"{'BIGG': ['ASPCT, ASPCTn, ASPCTr'], 'BIOCYC': ['ASPCARBTRANS-RXN'], 'BIOPATH': ['RXN00366'], 'BRENDA': ['BR43949'], 'EC NUMBER': ['2.1.3.2'], 'KEGG': ['R01397'], 'METACYC': ['ASPCARBTRANS-RXN'], 'MXNREF': ['MNXR856'], 'REACTOME': ['REACT_115976, REACT_118097, REACT_131565, REACT_143033, REACT_152870, REACT_154211, REACT_155430, REACT_1965, REACT_30409, REACT_30529, REACT_80965, REACT_89217, REACT_90716, REACT_91724, REACT_96047, REACT_98356, REACT_98452'], 'RHEA': ['20013, 20014, 20015, 20016'], 'SEED': ['rxn01018'], 'UPA': ['UCR01397, UER00116']}"
,OCBT,Ornithine carbamoyltransferase,cbp_c + orn__L_c <=> citr__L_c + h_c + pi_c,cbp_c + orn__L_c <=> citr__L_c + h_c + pi_c,{},CLO1313_RS13005,Clo1313_2561,Arginine and proline metabolism,2,,,,,,,-1000,1000,,,"{'BIOCYC': ['RXN-13482'], 'BIOPATH': ['RXN00958'], 'BRENDA': ['BR43950, BS381613'], 'EC NUMBER': ['2.1.3.3'], 'KEGG': ['R01398'], 'METACYC': ['ORNCARBAMTRANSFER-RXN, RXN-13482'], 'MXNREF': ['MNXR3940'], 'REACTOME': ['REACT_101361, REACT_102870, REACT_105226, REACT_106259, REACT_108782, REACT_115561, REACT_138629, REACT_29449, REACT_30313, REACT_30784, REACT_31346, REACT_75706, REACT_77785, REACT_78698, REACT_801, REACT_83411, REACT_88033, REACT_91782, REACT_96735'], 'RHEA': ['19513, 19514, 19515, 19516']}"
,MTAP,5  methylthioadenosine phosphorylase,5mta_c + pi_c <=> 5mdr1p_c + ade_c,5mta_c + pi_c <=> 5mdr1p_c + ade_c,{},CLO1313_RS08105,Clo1313_1606,Cysteine and methionine metabolism,2,,TRUE,"['5mdr1p_c', '5mdru1p_c']",,,,-1000,1000,,,"{'BIGG': ['MTAP'], 'BIOCYC': ['5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN'], 'BRENDA': ['BR47472, BS354415'], 'EC NUMBER': ['2.4.2.28'], 'KEGG': ['R01402'], 'METACYC': ['5-METHYLTHIOADENOSINE-PHOSPHORYLASE-RXN'], 'MXNREF': ['MNXR3639'], 'REACTOME': ['REACT_127686, REACT_130914, REACT_130926, REACT_131112, REACT_135578, REACT_136938, REACT_138394, REACT_141400, REACT_141778, REACT_144687, REACT_144819, REACT_144833, REACT_75786'], 'RHEA': ['11852, 11853, 11854, 11855'], 'SEED': ['rxn01022'], 'UPA': ['UCR01402, UER00873']}"
,NBAH,N-Benzoylglycine amidohydrolase,bz_c + gly_c --> bgly_c + h2o_c,bz_c + gly_c --> bgly_c + h2o_c,{},CLO1313_RS13875,Clo1313_2731,Phenylalanine metabolism,1,,TRUE,,,,,0,1000,,,"{'EC NUMBER': ['3.5.1.32'], 'KEGG': ['R01424']}"
,THRS,Threonine synthase,h2o_c + phom_c --> pi_c + thr__L_c,h2o_c + phom_c --> pi_c + thr__L_c,{},CLO1313_RS04450,Clo1313_0867,"Glycine, serine and threonine metabolism",2,,,"['thr__L_c', 'hom__L_c']",,,,0,1000,,,"{'BIGG': ['THRS'], 'BIOCYC': ['THRESYN-RXN'], 'BIOPATH': ['RXN01500'], 'BRENDA': ['BR16083'], 'EC NUMBER': ['4.2.3.1'], 'KEGG': ['R01466'], 'METACYC': ['THRESYN-RXN'], 'MXNREF': ['MNXR5064'], 'RHEA': ['10840, 10841, 10842, 10843'], 'SEED': ['rxn01069'], 'UPA': ['UCR01466, UER00065']}"
,PGK,Phosphoglycerate kinase,13dpg_c + adp_c --> 3pg_c + atp_c,13dpg_c + adp_c --> 3pg_c + atp_c,{},CLO1313_RS10610,Clo1313_2094,Glycolysis/Gluconeogenesis,4,,,"['atp_c', 'dgtp_c']",,,,0,1000,,,"{'BIGG': ['PGK'], 'BIOCYC': ['PHOSGLYPHOS-RXN'], 'BIOPATH': ['RXN00796'], 'BRENDA': ['BR47826'], 'EC NUMBER': ['2.7.2.3'], 'IAT CORE': ['GG8r'], 'KEGG': ['R01512'], 'METACYC': ['PHOSGLYPHOS-RXN'], 'MXNREF': ['MNXR4189'], 'REACTOME': ['REACT_104338, REACT_109995, REACT_110610, REACT_114935, REACT_115775, REACT_115924, REACT_1186, REACT_154866, REACT_155872, REACT_158035, REACT_158142, REACT_158941, REACT_159062, REACT_159286, REACT_159579, REACT_29938, REACT_30677, REACT_31518, REACT_34605, REACT_432, REACT_80659, REACT_81461, REACT_81725, REACT_82233, REACT_84357, REACT_85747, REACT_88105, REACT_88146, REACT_88245, REACT_89364, REACT_90420, REACT_94497, REACT_96479, REACT_96646, REACT_97790'], 'RHEA': ['14801, 14802, 14803, 14804'], 'SEED': ['rxn01100'], 'UPA': ['UCR01512, UER00185']}"
,PGLYDH,Phosphoglycerate dehydrogenase,3pg_c + nad_c --> 3php_c + h_c + nadh_c,3pg_c + nad_c --> 3php_c + h_c + nadh_c,{},CLO1313_RS02985,Clo1313_0586,"Glycine, serine and threonine metabolism",2,,,"['3pg_c', '2pg_c']",,,,0,1000,,,"{'BIGG': ['PGCD, PGCDr'], 'BIOCYC': ['PGLYCDEHYDROG-RXN'], 'BIOPATH': ['RXN00096'], 'BRENDA': ['BR29351, BS188712, BS383029'], 'EC NUMBER': ['1.1.1.95'], 'KEGG': ['R01513'], 'METACYC': ['PGLYCDEHYDROG-RXN'], 'MXNREF': ['MNXR4184'], 'REACTOME': ['REACT_116077, REACT_125894, REACT_126526, REACT_132499, REACT_133723, REACT_134028, REACT_134043, REACT_134956, REACT_135528, REACT_136870, REACT_139274, REACT_140333, REACT_141738, REACT_143488, REACT_145006, REACT_145591, REACT_155480, REACT_160029'], 'RHEA': ['12641, 12642, 12643, 12644'], 'SEED': ['rxn01101'], 'UPA': ['UCR01513, UER00196']}"
